,store_clus,logistic_qty,disc,yr_wk_num,intcp,prod_lvl_3_cd,discflag
1380314,3,-0.87935219,0,201705,1,668,1
1380360,2,-0.206539043,0,201706,1,668,1
1380424,3,-0.229681246,0,201706,1,668,1
1380436,1,-0.905029732,0,201704,1,668,1
1380497,3,-0.922072289,0,201704,1,668,1
1380506,4,2.995732274,0,201706,1,668,1
1380507,2,-0.948716382,0,201704,1,668,1
1380515,3,-0.946761844,0,201705,1,668,1
1380551,2,-0.300552347,0,201706,1,668,1
1380564,3,2.01410238,0,201705,1,668,1
1380578,3,-0.274769892,0,201704,1,668,1
1380604,3,2.995732274,0,201706,1,668,1
1380619,4,-0.333501679,0,201705,1,668,1
1380640,2,-0.365308553,0,201705,1,668,1
1380653,2,-0.293249372,0,201704,1,668,1
1380687,2,-0.26834137,0,201704,1,668,1
1380731,3,-0.244425446,0,201705,1,668,1
1380764,1,-0.892683793,0,201704,1,668,1
1380797,3,-0.263526162,0,201704,1,668,1
1380857,2,1.718782513,0,201706,1,668,1
1380915,2,1.741243357,0,201705,1,668,1
1381008,1,-0.939971618,0,201704,1,668,1
1381028,2,-0.250002511,0,201705,1,668,1
1381029,2,2.01460263,0,201706,1,668,1
1381058,3,-0.236557387,0.1,201706,1,668,1
1381077,5,1.732867951,0,201704,1,668,1
1381079,3,2.995732274,0.1005,201706,1,668,1
1381083,2,-1.291874376,0,201704,1,668,1
1381113,3,-0.946761844,0,201704,1,668,1
1381130,3,-0.291050365,0,201705,1,668,1
1381147,3,-0.879316572,0,201704,1,668,1
1381180,5,2.995732274,0,201704,1,668,1
1381196,3,2.995732274,0,201704,1,668,1
1381216,1,-0.871356511,0,201704,1,668,1
1381221,4,-0.282625478,0,201705,1,668,1
1381330,1,-0.253171421,0,201706,1,668,1
1381332,3,-0.946761844,0,201705,1,668,1
1381340,5,-0.331425684,0,201705,1,668,1
1381357,1,-0.253171421,0,201704,1,668,1
1381450,2,-0.293249372,0,201706,1,668,1
1381484,4,2.995732274,0,201705,1,668,1
1381544,3,-1.304363986,0,201704,1,668,1
1381560,3,-0.309788309,0,201705,1,668,1
1381568,2,-0.226105665,0,201704,1,668,1
1381609,3,-0.952541332,0,201705,1,668,1
1381630,3,-0.912025844,0,201705,1,668,1
1381646,1,-0.201802889,0,201704,1,668,1
1381692,1,1.421799879,0,201705,1,668,1
1381753,4,2.215408399,0,201706,1,668,1
1381786,2,-0.313310699,0,201705,1,668,1
1381819,1,-1.312147923,0,201706,1,668,1
1381831,2,-0.250002511,0,201706,1,668,1
1381835,2,-0.297647965,0,201705,1,668,1
1381859,3,-1.317517446,0.1,201706,1,668,1
1381883,5,1.386294361,0,201704,1,668,1
1381933,4,-1.295607998,0,201704,1,668,1
1381974,2,2.995732274,0,201705,1,668,1
1382023,1,1.872899872,0,201706,1,668,1
1382091,4,-0.263526162,0,201706,1,668,1
1382096,3,2.995732274,0,201704,1,668,1
